Song Name,Original Artist,Times Played,Debut,Last Seen,Current Gap
After Midnight,J.J. Cale,7,1999-12-31,2015-09-06,7
Frankenstein,The Edgar Winter Group,88,1989-11-11,2015-09-06,7
Harpua,Phish,81,1987-08-09,2015-09-06,7
Keyboard Army,Phish,15,1995-09-27,2015-09-06,7
NO2,Phish,8,1994-06-25,2015-09-06,7
Once in a Lifetime,Talking Heads,2,1996-10-31,2015-09-06,7
Scent of a Mule,Phish,137,1994-04-04,2015-09-06,7
Seven Below,Phish,38,2002-12-31,2015-09-06,7
Steam,Phish,20,2011-06-04,2015-09-06,7
The Birdwatcher,Phish,4,2010-12-28,2015-09-06,7
The Line,Phish,23,2013-10-31,2015-09-06,7
United We Stand,Brotherhood of Man,1,2015-09-06,2015-09-06,7
A Day in the Life,The Beatles,66,1995-06-10,2015-09-05,8
Mercury,Phish,3,2015-07-22,2015-09-05,8
Sleeping Monkey,Phish,84,1992-01-14,2015-09-05,8
Split Open and Melt,Phish,308,1989-02-17,2015-09-05,8
Winterqueen,Trey Anastasio,12,2013-10-31,2015-09-05,8
Bike,Pink Floyd,42,1987-11-19,2015-09-04,9
Hold Your Head Up,Argent,526,1987-08-21,2015-09-04,9
Loving Cup,The Rolling Stones,122,1993-02-03,2015-09-04,9
Roses Are Free,Ween,44,1997-12-11,2015-09-04,9
Buffalo Bill,Phish,17,1992-11-21,2015-08-23,10
Punch You In the Eye,Phish,147,1989-08-17,2015-08-23,10
Scents and Subtle Sounds,Phish,19,2003-07-06,2015-08-23,10
Boogie On Reggae Woman,Stevie Wonder,75,1987-02-21,2015-08-22,11
Drive-In Jam,Phish,1,2015-08-22,2015-08-22,11
Meatstick,Phish,52,1997-06-25,2015-08-22,11
Mound,Phish,110,1992-01-14,2015-08-22,11
Scabbard,Trey Anastasio,2,2015-07-22,2015-08-22,11
When the Circus Comes,Los Lobos,62,1997-02-13,2015-08-22,11
Avenu Malkenu,Traditional,79,1987-05-11,2015-08-21,12
First Tube,Trey Anastasio,81,1999-09-09,2015-08-21,12
Mock Song,Phish,2,2003-07-12,2015-08-21,12
The Man Who Stepped Into Yeste...,Phish,138,1987-05-11,2015-08-21,12
Waste,Phish,73,1996-06-06,2015-08-21,12
Jam,Traditional,76,1984-11-03,2015-08-20,13
Golgi Apparatus,Phish,450,1986-10-12,2015-08-16,14
Nothing,Amfibian,6,2004-06-17,2015-08-16,14
Sneakin' Sally Through the All...,Lee Dorsey,69,1985-03-08,2015-08-16,14
Big Black Furry Creature from ...,Phish,133,1987-08-21,2015-08-15,15
Buried Alive,Phish,150,1990-09-13,2015-08-15,15
Glide,Phish,115,1991-09-27,2015-08-15,15
McGrupp and the Watchful Hosem...,Phish,111,1985-04-06,2015-08-15,15
Devotion To a Dream,Phish,17,2013-10-31,2015-08-14,16
Fire,Jimi Hendrix Experience,133,1984-12-01,2015-08-14,16
Llama,Phish,302,1990-10-27,2015-08-14,16
No Quarter,Led Zeppelin,8,2011-06-01,2015-08-14,16
Crowd Control,Phish,14,2003-11-28,2015-08-11,18
Dog Faced Boy,Phish,51,1994-04-14,2015-08-11,18
Grind,Phish,20,1998-12-30,2015-08-11,18
Skin It Back,Little Feat,13,1986-10-15,2015-08-11,18
Taste,Phish,126,1995-05-14,2015-08-11,18
Vultures,Phish,37,1997-06-06,2015-08-11,18
Brian and Robert,Phish,41,1998-06-30,2015-08-09,19
Colonel Forbin's Ascent,Phish,125,1988-03-12,2015-08-09,19
Contact,Phish,162,1988-06-15,2015-08-09,19
Esther,Phish,126,1988-09-12,2015-08-09,19
Fly Famous Mockingbird,Phish,136,1988-02-07,2015-08-09,19
Sanity,Phish,38,1986-10-15,2015-08-09,19
The Sloth,Phish,167,1987-08-09,2015-08-09,19
The Very Long Fuse,Phish,2,2014-10-31,2015-08-09,19
Weigh,Phish,40,1992-01-14,2015-08-09,19
Frankie Says,Phish,29,1998-04-02,2015-08-08,20
Poor Heart,Phish,296,1988-08-04,2015-08-08,20
Ginseng Sullivan,Norman Blake,77,1993-08-11,2015-08-07,21
Good Times Bad Times,Led Zeppelin,214,1986-12-06,2015-08-07,21
Makisupa Policeman,Phish,101,1984-10-23,2015-08-07,21
My Sweet One,Phish,240,1989-09-09,2015-08-07,21
Gotta Jibboo,Trey Anastasio,73,1999-09-10,2015-08-05,22
Gumbo,Phish,97,1990-09-28,2015-08-05,22
The Last Step,Mike Gordon,1,2015-08-05,2015-08-05,22
Shade,Phish,3,2015-07-21,2015-08-04,23
Meat,Phish,31,1998-07-02,2015-08-02,24
"My Friend, My Friend",Phish,140,1992-01-14,2015-08-02,24
Nellie Kane,Hot Rize,64,1993-02-23,2015-08-01,25
Runaway Jim,Phish,374,1990-03-28,2015-08-01,25
I Am Hydrogen,Phish,331,1985-04-06,2015-07-31,26
Guelah Papyrus,Phish,201,1991-02-01,2015-07-29,27
The Connection,Phish,4,2009-06-19,2015-07-29,27
The Squirming Coil,Phish,345,1990-01-20,2015-07-29,27
Party Time,Phish,19,2009-08-15,2015-07-28,28
Sugar Shack,Phish,20,2009-06-07,2015-07-28,28
Water in the Sky,Phish,72,1997-06-06,2015-07-28,28
Heavy Rotation,Page McConnell,1,2015-07-22,2015-07-22,31
Plasma,Trey Anastasio,3,2014-10-17,2015-01-03,33
Rocky Top,Osborne Brothers,195,1987-09-21,2015-01-02,34
Dem Bones,James Weldon Johnson,1,2014-12-31,2014-12-31,36
Foam,Phish,341,1988-10-29,2014-11-02,37
Wombat,Phish,9,2013-10-31,2014-11-02,37
Fuck Your Face,Phish,10,1987-04-29,2014-11-01,38
Lengthwise,Phish,28,1992-11-19,2014-11-01,38
Sing Monica,Phish,7,2013-10-31,2014-11-01,38
The Star Spangled Banner,Francis Scott Key,20,1996-10-17,2014-11-01,38
Guyute,Phish,123,1994-10-07,2014-10-31,39
Intro,Phish,1,2014-10-31,2014-10-31,39
Is This What You Wanted,Leonard Cohen,1,2014-10-31,2014-10-31,39
Shipwreck,Phish,1,2014-10-31,2014-10-31,39
The Birds,Phish,1,2014-10-31,2014-10-31,39
The Chinese Water Torture,Phish,1,2014-10-31,2014-10-31,39
The Haunted House,Phish,1,2014-10-31,2014-10-31,39
The Unsafe Bridge,Phish,1,2014-10-31,2014-10-31,39
Timber,Phish,1,2014-10-31,2014-10-31,39
Strange Design,Phish,61,1995-05-14,2014-10-29,40
Mountains in the Mist,Trey Anastasio,21,1999-07-03,2014-10-28,41
